
Crop,Phase,Stage,Topic,SubTopic,Content
Rice,Vegetative Phase,Germination & Seedling (0-20 days),pest,types,White backed plant hopper (WBPH)
Rice,Vegetative Phase,Germination & Seedling (0-20 days),pest,types,Thrips
Rice,Vegetative Phase,Germination & Seedling (0-20 days),pest,types,Whorl maggot
Rice,Vegetative Phase,Germination & Seedling (0-20 days),disease,types,Seedling blast
Rice,Vegetative Phase,Germination & Seedling (0-20 days),disease,types,Foot rot (Bakanae)
Rice,Vegetative Phase,Germination & Seedling (0-20 days),disease,types,Bacterial leaf blight
Rice,Vegetative Phase,Germination & Seedling (0-20 days),pest,management,Use natural enemies
Rice,Vegetative Phase,Germination & Seedling (0-20 days),pest,management,Pheromone traps
Rice,Vegetative Phase,Germination & Seedling (0-20 days),pest,management,Trichocards
Rice,Vegetative Phase,Germination & Seedling (0-20 days),pest,management,Light traps
Rice,Vegetative Phase,Germination & Seedling (0-20 days),disease,management,Apply Pseudomonas fluorescens with FYM
Rice,Vegetative Phase,Germination & Seedling (0-20 days),pest,factors,Excessive nitrogen fertilizer
Rice,Vegetative Phase,Germination & Seedling (0-20 days),pest,factors,High humidity and temperature
Rice,Vegetative Phase,Germination & Seedling (0-20 days),pest,factors,Presence of weeds
Rice,Vegetative Phase,Germination & Seedling (0-20 days),pest,factors,High-density planting
Rice,Vegetative Phase,Germination & Seedling (0-20 days),disease,factors,High humidity
Rice,Vegetative Phase,Germination & Seedling (0-20 days),disease,factors,Dense planting
Rice,Vegetative Phase,Germination & Seedling (0-20 days),disease,factors,Excessive nitrogen application
Rice,Vegetative Phase,Tillering (20-50 days),pest,types,Stem borer (dead heart)
Rice,Vegetative Phase,Tillering (20-50 days),pest,types,Leaf folder
Rice,Vegetative Phase,Tillering (20-50 days),pest,types,Case worm
Rice,Vegetative Phase,Tillering (20-50 days),disease,types,Sheath blight
Rice,Vegetative Phase,Tillering (20-50 days),disease,types,Bacterial leaf blight
Rice,Vegetative Phase,Tillering (20-50 days),disease,types,Leaf blast
Rice,Vegetative Phase,Tillering (20-50 days),pest,management,Use neem-based pesticides
Rice,Vegetative Phase,Tillering (20-50 days),pest,management,ETL-based spraying
Rice,Vegetative Phase,Tillering (20-50 days),pest,management,Pesticide rotation
Rice,Vegetative Phase,Tillering (20-50 days),disease,management,Apply Carbendazim
Rice,Vegetative Phase,Tillering (20-50 days),disease,management,Apply Copper oxychloride
Rice,Vegetative Phase,Tillering (20-50 days),disease,management,Apply Streptocycline
Rice,Vegetative Phase,Tillering (20-50 days),pest,factors,Excessive nitrogen fertilizer
Rice,Vegetative Phase,Tillering (20-50 days),pest,factors,Monoculture and continuous cropping
Rice,Vegetative Phase,Tillering (20-50 days),pest,factors,Staggered planting
Rice,Vegetative Phase,Tillering (20-50 days),pest,factors,High-density planting
Rice,Vegetative Phase,Tillering (20-50 days),pest,factors,Presence of weeds
Rice,Vegetative Phase,Tillering (20-50 days),pest,factors,Reduced sunlight
Rice,Vegetative Phase,Tillering (20-50 days),disease,factors,High humidity
